state_fips,state_abbr,finalist_code,finalist_party,first_choice_pct,inc_CON,inc_OAO,inc_CUP,inc_LIB,inc_POP,inc_DSA,inc_LBR,inc_PRG,inc_NAT
46,SD,LBR_1,LBR,10.86,0.0,0.77,0.0,0.0,0.0,6.1,0.0,0.0,0.0
46,SD,NAT_1,NAT,14.49,0.0,0.0,0.0,14.57,0.0,0.0,0.0,0.0,0.0
46,SD,POP_1,POP,17.05,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,TN,CON_1,CON,30.85,0.0,0.0,0.0,0.0,6.12,0.0,0.0,0.0,0.0
47,TN,CON_2,CON,0.0,14.06,1.94,0.59,0.0,0.0,0.0,0.0,0.0,0.78
47,TN,CUP_1,CUP,8.43,0.0,4.14,0.0,1.38,1.75,0.0,3.93,0.0,0.0
47,TN,LBR_1,LBR,10.89,0.0,0.0,0.0,4.64,2.92,8.43,0.0,0.0,0.0
47,TN,NAT_1,NAT,17.59,0.0,0.0,0.0,0.0,0.52,0.0,0.0,0.0,0.0
48,TX,CON_1,CON,22.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.57
48,TX,CUP_1,CUP,10.97,2.03,4.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,LBR_1,LBR,19.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,TX,LIB_1,LIB,8.03,0.0,0.95,0.0,0.0,0.0,9.12,0.72,1.48,0.0
48,TX,POP_1,POP,11.2,2.8,1.42,1.09,0.0,0.0,0.0,1.6,0.0,1.78
49,UT,CON_1,CON,16.65,0.0,1.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,UT,CUP_1,CUP,9.09,0.0,1.68,0.0,0.0,0.54,0.0,1.31,0.0,10.89
49,UT,LBR_1,LBR,24.24,0.0,0.0,0.0,0.0,0.0,8.95,0.0,0.0,0.0
49,UT,LIB_1,LIB,7.14,0.0,0.0,6.86,0.0,0.0,2.34,3.99,1.83,0.0
49,UT,POP_1,POP,15.38,0.0,0.0,0.0,0.0,0.0,0.0,1.89,0.0,0.0
50,VT,CON_1,CON,12.06,0.0,0.0,3.13,0.0,0.0,0.0,0.0,0.0,4.26
50,VT,LBR_1,LBR,13.61,0.0,0.0,0.0,0.0,0.0,4.96,0.0,0.0,0.0
50,VT,LIB_1,LIB,13.71,0.0,1.49,0.0,0.0,1.29,0.0,0.0,11.72,0.0
50,VT,POP_1,POP,6.02,1.34,8.58,3.0,0.0,0.0,0.0,0.0,0.0,0.0
50,VT,PRG_1,PRG,29.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,CON_1,CON,20.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.43
51,VA,CUP_1,CUP,7.05,1.47,2.7,0.0,8.44,0.0,0.0,0.68,0.0,0.0
51,VA,LBR_1,LBR,19.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,VA,LIB_1,LIB,9.99,0.0,1.05,0.0,0.0,0.0,2.49,0.7,10.88,0.0
51,VA,POP_1,POP,11.0,1.6,1.51,0.0,0.0,0.0,2.28,0.96,0.0,2.29
53,WA,CON_1,CON,13.96,0.0,2.42,0.0,0.0,5.04,0.0,0.0,0.0,11.49
53,WA,CUP_1,CUP,7.93,0.81,2.64,0.0,5.14,0.74,1.72,1.44,0.0,0.0
53,WA,LBR_1,LBR,16.1,1.97,0.6,0.0,0.0,1.8,0.0,0.0,0.0,0.0
53,WA,LIB_1,LIB,13.6,0.0,1.78,0.0,0.0,0.0,7.75,1.09,0.0,0.0
53,WA,PRG_1,PRG,12.48,0.0,0.0,1.84,2.3,0.0,0.88,0.0,0.0,0.0
54,WV,CON_1,CON,21.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.22
54,WV,CUP_1,CUP,12.16,0.76,8.53,0.0,0.0,0.71,0.0,0.0,0.0,0.0
54,WV,LBR_1,LBR,19.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,WV,LIB_1,LIB,6.13,0.0,0.52,3.57,0.0,0.0,4.43,0.65,1.92,0.0
